trial,lr,ims_per_batch,max_iter,gamma,AP50,AP,AR100,score
0,0.0006142155381235291,4,5000,0.8944058566740284,30.236822129430703,15.046510230113288,0.0,15.094444119847997
1,0.00010077299472037376,4,4000,0.14754928519461608,26.317728001146918,13.202852511720467,0.0,13.173526837622461
2,0.00031430182093082496,4,4000,0.7131830722072712,28.11985991478652,14.039401189594564,0.0,14.053087034793696
3,0.0001482728277137511,2,2000,0.5530893417715871,26.60774759265535,13.216221136473571,0.0,13.274656243042974
5,0.0009415526700076521,4,4000,0.7458255886759287,30.36515263056261,15.345695665433324,0.0,15.236949431998644
12,0.0009448210413273725,4,5000,0.8936981202583567,30.6473870341106,14.985422042813108,0.0,15.21093635897457
13,0.0009066384962733454,4,4000,0.7354719605197979,30.300041900260023,15.001517470171406,0.0,15.100519790143808
